,Unnamed: 0,Month,Neighbourhood,Mean,Count
472,473,17,CHELSEA,2545534.23684211,76
473,474,18,CHELSEA,4423845.15942029,69
474,475,19,CHELSEA,3110229.3253012,83
475,476,20,CHELSEA,6326761.06493506,77
476,477,21,CHELSEA,2121171.50847458,59
477,478,22,CHELSEA,3583108.76829268,82
478,479,23,CHELSEA,2357650.29824561,57
479,480,24,CHELSEA,7753353.67741936,62
480,481,13,CHINATOWN,6700512.0,6
481,482,14,CHINATOWN,3692779.4,10
482,483,15,CHINATOWN,10046419.1666667,6
483,484,16,CHINATOWN,730000.0,1
484,485,17,CHINATOWN,1618049.5,6
485,486,18,CHINATOWN,5640550.0,10
486,487,19,CHINATOWN,1188760.0,5
487,488,20,CHINATOWN,1294385.75,4
488,489,21,CHINATOWN,2850525.5,8
489,490,22,CHINATOWN,1495168.7,10
490,491,23,CHINATOWN,2444760.70833333,24
491,492,24,CHINATOWN,2373547.4137931,29
492,493,13,CIVIC CENTER,2699423.40425532,47
493,494,14,CIVIC CENTER,2853945.2,20
494,495,15,CIVIC CENTER,2418747.71428571,21
495,496,16,CIVIC CENTER,3599562.58333333,24
496,497,17,CIVIC CENTER,1985911.30769231,13
497,498,18,CIVIC CENTER,6041461.7,10
498,499,19,CIVIC CENTER,4120258.4375,16
499,500,20,CIVIC CENTER,8743738.07692308,13
500,501,21,CIVIC CENTER,2373067.0,8
501,502,22,CIVIC CENTER,1504034.33333333,6
502,503,23,CIVIC CENTER,2526833.33333333,3
503,504,24,CIVIC CENTER,34063912.0,10
504,505,13,CLINTON,743828.823529412,17
505,506,14,CLINTON,803373.7857142859,14
506,507,15,CLINTON,1135627.27272727,11
507,508,16,CLINTON,1743516.47058824,17
508,509,17,CLINTON,2090648.21052632,19
509,510,18,CLINTON,2866056.70833333,24
510,511,19,CLINTON,2655771.07142857,28
511,512,20,CLINTON,3032107.71428571,21
512,513,21,CLINTON,2244473.68421053,19
513,514,22,CLINTON,1683857.44444444,18
514,515,23,CLINTON,1361737.95454545,22
